tarih,hisse,getiri,getiri_lag1,getiri_lag2,getiri_lag3,getiri_lag5,sma5_fark,sma10_fark,sma20_fark,sma_kisa_uzun_fark,volatilite5,volatilite10,volatilite20,hacim_degisim,hacim_orani,rsi14,macd,macd_histogram,hedef,usdtry_degisim
2018-01-29,THYAO.IS,0.0162232752447777,0.0144831999469396,-0.020631916770648,-0.0070422469190755,0.0280186359771423,0.0117586259603671,0.0162232301795516,0.0024645466870236,-0.0091860637852447,0.0164197114859734,0.0248902044513154,0.0268486200887789,0.0629181788224,0.7873503228512074,51.65209643273884,-0.0839070401721731,0.0070870430564103,0,-0.0025800227163754
2018-01-30,THYAO.IS,0.0025542477639657,0.0162232752447777,0.0144831999469396,-0.020631916770648,0.0136275892162938,0.0132954516055735,0.0174983501338303,0.0062489618543483,-0.0069540327453952,0.0153989384733521,0.0167671714000181,0.0262287540671046,0.4669832697755005,1.1410833132220557,52.28398630168584,-0.0597611327849634,0.024986360354896,1,0.0097120803715229
2018-01-31,THYAO.IS,0.04968152470185,0.0025542477639657,0.0162232752447777,0.0144831999469396,-0.0070422469190755,0.0504844396661241,0.0609669480249268,0.0552940455653996,0.0045784646755968,0.0254798760853317,0.0225069032457919,0.0285321879036064,0.375096690355492,1.5120994307468747,62.55998829073878,0.0206215365036079,0.0842952237147739,1,-0.0028206735803267
2018-02-01,THYAO.IS,0.0182039322370288,0.04968152470185,0.0025542477639657,0.0162232752447777,-0.020631916770648,0.0483568997387972,0.0704944429656028,0.0728214481376867,0.0233360875528028,0.0175571141289565,0.022302868269357,0.0287719491367901,-0.2012059461764676,1.1989878813348676,65.62618680428984,0.106742894344606,0.1363332652446176,0,-0.0051433658044884
2018-02-02,THYAO.IS,-0.0089392950353669,0.0182039322370288,0.04968152470185,0.0025542477639657,0.0144831999469396,0.0233845696230603,0.0499399669441447,0.0622125004410107,0.0379407037886566,0.0220288029824582,0.0202145642749228,0.028872526230261,-0.3894651103381328,0.7449699465085421,62.854414247354,0.1613111301824741,0.1527212008659885,1,-0.0060165417290592
2018-02-05,THYAO.IS,0.0408899983609951,-0.0089392950353669,0.0182039322370288,0.04968152470185,0.0162232752447777,0.0440289504788991,0.0799176339861019,0.1020563819079189,0.0555802896101707,0.0248057707886425,0.0217937420864371,0.0301728639805446,1.3291313215697618,1.6385974703019903,69.20434062250419,0.2552168623684601,0.1973015464415796,0,0.010231111552142
2018-02-06,THYAO.IS,-0.0103985736391928,0.0408899983609951,-0.0089392950353669,0.0182039322370288,0.0025542477639657,0.0156528250524106,0.0587144918221447,0.087032414674816,0.0702795166436148,0.0276579733564301,0.0228800317212441,0.0301407703592268,-0.0371351852141211,1.5077355313069678,65.98863121527197,0.3118542747012842,0.203151167019523,0,0.0039237710324486
2018-02-07,THYAO.IS,-0.0274372142586114,-0.0103985736391928,0.0408899983609951,-0.0089392950353669,0.04968152470185,-0.0143177846679783,0.0223995686350981,0.0524986255981199,0.067786969498675,0.0269901202712518,0.0252997091546652,0.0281114276349234,-0.271786835771839,1.1050251299352691,58.36274361520092,0.3160482625575387,0.1658761239006219,0,-0.0058071832324879
2018-02-08,THYAO.IS,-0.0306123011041015,-0.0274372142586114,-0.0103985736391928,0.0408899983609951,0.0182039322370288,-0.0373152158779142,-0.0147031917492505,0.0187024820332502,0.0581890342873233,0.0286510696499352,0.0266898218402862,0.0286690183037004,-0.3228536019773101,0.7634935458610591,51.41886587184281,0.2759890645856053,0.1006535407429509,1,0.0100379738546445
2018-02-09,THYAO.IS,0.0470588640653684,-0.0306123011041015,-0.0274372142586114,-0.0103985736391928,-0.0089392950353669,0.0046340472818215,0.0223082358769522,0.0619191423106588,0.0570208576783059,0.0374450152194702,0.0296058928907309,0.0302109804094417,1.0993383813409725,1.5485629480265235,59.2076963098716,0.3006838706817767,0.1002786774712978,1,0.005291230880037
